year,site,taxa,species,count,funct_group
2000,BULL,KELP,Macrocystis pyrifera,266,giant.kelp
2000,CARP,KELP,Macrocystis pyrifera,455,giant.kelp
2001,ABUR,KELP,Macrocystis pyrifera,1110,giant.kelp
2001,AHND,KELP,Macrocystis pyrifera,99,giant.kelp
2001,AQUE,KELP,Macrocystis pyrifera,493,giant.kelp
2001,BULL,KELP,Macrocystis pyrifera,30,giant.kelp
2001,CARP,KELP,Macrocystis pyrifera,314,giant.kelp
2001,GOLB,KELP,Macrocystis pyrifera,1386,giant.kelp
2001,IVEE,KELP,Macrocystis pyrifera,299,giant.kelp
2001,MOHK,KELP,Macrocystis pyrifera,1626,giant.kelp
2001,NAPL,KELP,Macrocystis pyrifera,2,giant.kelp
2002,ABUR,KELP,Macrocystis pyrifera,712,giant.kelp
2002,AHND,KELP,Macrocystis pyrifera,350,giant.kelp
2002,AQUE,KELP,Macrocystis pyrifera,5252,giant.kelp
2002,BULL,KELP,Macrocystis pyrifera,566,giant.kelp
2002,CARP,KELP,Macrocystis pyrifera,1410,giant.kelp
2002,GOLB,KELP,Macrocystis pyrifera,1494,giant.kelp
2002,IVEE,KELP,Macrocystis pyrifera,361,giant.kelp
2002,MOHK,KELP,Macrocystis pyrifera,1773,giant.kelp
2002,NAPL,KELP,Macrocystis pyrifera,271,giant.kelp
2003,ABUR,KELP,Macrocystis pyrifera,48,giant.kelp
2003,AHND,KELP,Macrocystis pyrifera,249,giant.kelp
2003,AQUE,KELP,Macrocystis pyrifera,5790,giant.kelp
2003,BULL,KELP,Macrocystis pyrifera,1626,giant.kelp
2003,CARP,KELP,Macrocystis pyrifera,1381,giant.kelp
2003,GOLB,KELP,Macrocystis pyrifera,1813,giant.kelp
2003,IVEE,KELP,Macrocystis pyrifera,307,giant.kelp
2003,MOHK,KELP,Macrocystis pyrifera,2381,giant.kelp
2003,NAPL,KELP,Macrocystis pyrifera,4565,giant.kelp
2004,ABUR,KELP,Macrocystis pyrifera,68,giant.kelp
2004,AHND,KELP,Macrocystis pyrifera,295,giant.kelp
2004,AQUE,KELP,Macrocystis pyrifera,2790,giant.kelp
2004,BULL,KELP,Macrocystis pyrifera,63,giant.kelp
2004,CARP,KELP,Macrocystis pyrifera,2469,giant.kelp
2004,GOLB,KELP,Macrocystis pyrifera,224,giant.kelp
2004,IVEE,KELP,Macrocystis pyrifera,377,giant.kelp
2004,MOHK,KELP,Macrocystis pyrifera,1380,giant.kelp
2004,NAPL,KELP,Macrocystis pyrifera,3446,giant.kelp
2004,SCTW,KELP,Macrocystis pyrifera,0,giant.kelp
2005,ABUR,KELP,Macrocystis pyrifera,319,giant.kelp
2005,AHND,KELP,Macrocystis pyrifera,554,giant.kelp
2005,AQUE,KELP,Macrocystis pyrifera,1669,giant.kelp
2005,BULL,KELP,Macrocystis pyrifera,999,giant.kelp
2005,CARP,KELP,Macrocystis pyrifera,6024,giant.kelp
2005,GOLB,KELP,Macrocystis pyrifera,241,giant.kelp
2005,IVEE,KELP,Macrocystis pyrifera,909,giant.kelp
2005,MOHK,KELP,Macrocystis pyrifera,416,giant.kelp
2005,NAPL,KELP,Macrocystis pyrifera,3786,giant.kelp
2005,SCDI,KELP,Macrocystis pyrifera,0,giant.kelp
2005,SCTW,KELP,Macrocystis pyrifera,2,giant.kelp
2006,ABUR,KELP,Macrocystis pyrifera,15,giant.kelp
2006,AHND,KELP,Macrocystis pyrifera,384,giant.kelp
2006,AQUE,KELP,Macrocystis pyrifera,2622,giant.kelp
2006,BULL,KELP,Macrocystis pyrifera,737,giant.kelp
2006,CARP,KELP,Macrocystis pyrifera,3870,giant.kelp
2006,GOLB,KELP,Macrocystis pyrifera,358,giant.kelp
2006,IVEE,KELP,Macrocystis pyrifera,687,giant.kelp
2006,MOHK,KELP,Macrocystis pyrifera,911,giant.kelp
